ADA-USDT,4h,50,70,0.05,0.1,21600,-23.01,-24.17,35.90,-1.37
ETH-USDT,1h,25,170,0.07,0.15,21600,-5.94,-7.49,30.00,-0.59
SOL-USDT,1h,10,120,0.04,0.05,21600,-26.86,-31.53,46.92,-1.30
TRX-USDT,1h,45,110,0.1,0.2,21600,-4.10,-12.75,46.75,-0.04
BTC-USDT,1h,40,100,0.1,0.08,21600,-2.81,-4.69,55.00,-0.03
ADA-USDT,1h,45,120,0.01,0.15,21600,7.08,-11.90,38.04,-0.48
SOL-USDT,4h,20,80,0.01,0.08,21600,-1.75,-19.16,32.56,0.49
ETH-USDT,4h,30,80,0.03,0.15,21600,5.79,-0.42,62.50,0.87
ADA-USDT,1h,30,90,0.02,0.02,21600,-6.50,-19.46,47.14,-0.59
ADA-USDT,4h,50,80,0.03,0.2,21600,25.87,-3.73,54.69,2.25
BNB-USDT,4h,55,130,0.07,0.08,21600,0.74,-0.32,50.00,2.11
XRP-USDT,1h,40,60,0.05,0.02,21600,-27.59,-41.95,40.40,-2.19
BTC-USDT,1h,50,150,0.04,0.2,21600,-4.64,-4.42,22.22,-3.66
AVAX-USDT,4h,30,140,0.01,0.2,21600,12.91,-6.89,36.07,-0.29
DOGE-USDT,4h,50,110,0.1,0.02,21600,7.37,-5.49,47.73,1.75
SOL-USDT,1h,20,50,0.05,0.05,21600,26.64,-13.73,50.85,0.61
SOL-USDT,1h,10,120,0.07,0.05,21600,-19.75,-31.04,47.31,-1.25
XRP-USDT,1h,45,60,0.04,0.2,21600,-26.49,-52.41,43.58,-2.29
AVAX-USDT,4h,45,170,0.07,0.05,21600,-20.71,-19.67,35.29,-2.05
BNB-USDT,4h,20,80,0.02,0.08,21600,-5.49,-5.86,38.46,-1.06
ADA-USDT,4h,55,90,0.01,0.02,21600,-2.67,-11.71,33.33,0.64
XRP-USDT,4h,20,80,0.05,0.1,21600,-10.81,-17.43,36.36,-3.34
BTC-USDT,1h,15,140,0.05,0.08,21600,5.78,-1.28,55.56,2.27
TRX-USDT,4h,55,180,0.05,0.05,21600,3.16,-0.54,55.56,0.32
ETH-USDT,4h,40,60,0.03,0.1,21600,-10.33,-10.69,14.29,-2.06
AVAX-USDT,4h,40,170,0.1,0.15,21600,11.51,-6.01,58.82,1.84
LINK-USDT,4h,30,180,0.1,0.08,21600,-4.55,-12.54,61.90,0.70
LINK-USDT,1h,40,100,0.1,0.2,21600,-54.50,-54.40,41.46,-2.68
LINK-USDT,4h,40,80,0.07,0.2,21600,8.48,-11.58,56.45,1.20
BTC-USDT,1h,25,120,0.07,0.1,21600,6.13,-1.97,56.25,1.75
AVAX-USDT,1h,5,20,0.07,0.05,21600,-63.87,-99.95,48.24,-0.15
ETH-USDT,4h,45,90,0.02,0.1,21600,1.58,0.00,100.00,8.80
TRX-USDT,4h,20,160,0.03,0.05,21600,0.16,-1.42,50.00,-0.45
LINK-USDT,1h,10,180,0.05,0.15,21600,-32.25,-48.58,39.71,-1.10
AVAX-USDT,4h,5,150,0.07,0.08,21600,-2.28,-9.03,51.43,0.08
AVAX-USDT,1h,30,190,0.03,0.15,21600,-13.96,-18.90,43.10,-1.88
ETH-USDT,4h,15,190,0.03,0.1,21600,-9.27,-7.72,0.00,-30.80
XRP-USDT,1h,20,160,0.04,0.2,21600,-0.97,-21.24,49.40,-1.47
BTC-USDT,1h,55,90,0.01,0.02,21600,-1.91,-2.28,50.00,-1.22
SOL-USDT,4h,35,170,0.1,0.02,21600,7.85,-7.76,48.72,0.47
BTC-USDT,4h,10,60,0.05,0.1,21600,-3.38,-3.36,21.43,-4.38
ADA-USDT,1h,30,110,0.02,0.02,21600,-19.68,-22.28,48.48,-1.67
AVAX-USDT,4h,15,50,0.05,0.02,21600,10.84,-8.33,56.49,0.34
LINK-USDT,1h,40,90,0.03,0.2,21600,-26.29,-33.13,43.17,-0.50
BTC-USDT,1h,45,60,0.03,0.02,21600,6.60,-2.27,47.50,1.82
ETH-USDT,4h,35,120,0.05,0.02,21600,-10.24,-7.91,0.00,-129.45
ETH-USDT,1h,45,90,0.01,0.2,21600,7.41,-2.15,50.00,2.46
BNB-USDT,4h,35,50,0.07,0.05,21600,-4.46,-3.43,25.00,-2.40
ETH-USDT,4h,10,40,0.03,0.15,21600,-2.94,-4.62,33.33,-1.21
SOL-USDT,1h,10,190,0.04,0.08,21600,3.59,-10.32,54.60,-0.11
ETH-USDT,1h,50,110,0.04,0.05,21600,-4.88,-5.39,37.50,-0.84
BNB-USDT,1h,25,40,0.07,0.15,21600,4.49,-6.53,44.83,0.33
LINK-USDT,1h,15,70,0.02,0.08,21600,25.51,-28.22,49.52,-0.53
DOGE-USDT,4h,50,190,0.05,0.02,21600,-7.50,-14.61,61.29,-0.32
XRP-USDT,4h,50,150,0.07,0.05,21600,8.35,-3.91,58.82,1.84
ETH-USDT,1h,20,160,0.05,0.1,21600,-0.12,-2.66,50.00,-0.32
XRP-USDT,1h,55,70,0.01,0.08,21600,15.84,-23.80,39.24,-0.58
ETH-USDT,4h,50,120,0.1,0.02,21600,-1.76,-0.89,0.00,-8993.24
SOL-USDT,1h,20,190,0.04,0.1,21600,-8.39,-19.59,44.12,-0.24
BTC-USDT,4h,30,50,0.02,0.15,21600,-0.80,-0.89,33.33,-1.11
SOL-USDT,1h,55,140,0.1,0.15,21600,-22.11,-31.68,45.90,-0.71
TRX-USDT,4h,15,100,0.1,0.1,21600,-6.66,-9.39,50.00,-0.37
XRP-USDT,4h,50,70,0.03,0.05,21600,-9.12,-19.22,48.81,-1.46
ADA-USDT,1h,20,150,0.07,0.05,21600,-16.39,-21.38,51.79,-0.75
LINK-USDT,4h,5,130,0.03,0.1,21600,-17.81,-30.94,47.06,-1.58
ADA-USDT,1h,25,150,0.02,0.1,21600,-30.50,-33.08,43.83,-2.55
TRX-USDT,1h,30,160,0.03,0.15,21600,-7.68,-9.46,50.00,-0.52
XRP-USDT,4h,15,80,0.04,0.05,21600,21.55,-6.92,50.60,0.01
BTC-USDT,1h,10,150,0.1,0.2,21600,3.46,-5.08,59.09,0.65
SOL-USDT,1h,55,180,0.02,0.2,21600,4.77,-11.00,53.54,0.97
BTC-USDT,4h,25,130,0.01,0.1,21600,-0.13,-0.11,0.00,-1.29
TRX-USDT,4h,5,70,0.02,0.15,21600,-0.44,-7.38,43.97,0.93
ADA-USDT,1h,30,80,0.01,0.05,21600,-35.73,-44.71,32.56,-0.84
SOL-USDT,4h,55,130,0.05,0.15,21600,-2.88,-9.13,55.88,-0.08
BNB-USDT,1h,30,110,0.04,0.2,21600,-1.58,-3.18,43.75,-0.60
BTC-USDT,4h,10,160,0.07,0.1,21600,0.51,0.00,100.00,2.73
BNB-USDT,1h,35,80,0.02,0.02,21600,2.15,-3.66,50.00,1.36
BNB-USDT,4h,10,160,0.03,0.08,21600,0.83,-4.61,50.00,0.86
AVAX-USDT,1h,50,150,0.1,0.1,21600,16.55,-6.29,57.27,-0.01
DOGE-USDT,4h,30,60,0.07,0.1,21600,-49.19,-53.32,38.14,-1.02
BNB-USDT,1h,20,130,0.05,0.08,21600,7.06,-1.64,44.44,1.21
LINK-USDT,1h,15,190,0.04,0.2,21600,-17.16,-19.40,45.12,-1.20
ETH-USDT,4h,15,40,0.03,0.02,21600,2.86,-2.59,37.50,1.62
XRP-USDT,4h,5,110,0.02,0.08,21600,7.74,-11.04,50.00,-0.31
ADA-USDT,1h,10,40,0.1,0.15,21600,37.38,-18.94,52.45,1.05
SOL-USDT,1h,50,190,0.02,0.15,21600,3.56,-10.49,36.00,-0.70
SOL-USDT,4h,50,100,0.03,0.15,21600,-10.70,-11.35,42.86,-1.55
AVAX-USDT,4h,5,170,0.05,0.02,21600,16.78,-6.97,60.23,1.16
ETH-USDT,1h,15,60,0.03,0.15,21600,-0.56,-2.60,39.29,-1.23
LINK-USDT,1h,35,150,0.01,0.05,21600,-12.50,-12.05,32.45,-1.13
XRP-USDT,1h,50,170,0.01,0.08,21600,6.25,-11.17,38.26,0.54
LINK-USDT,4h,20,120,0.02,0.02,21600,-1.28,-10.34,44.59,0.14
BTC-USDT,1h,55,190,0.04,0.05,21600,0.17,-2.01,33.33,0.46
TRX-USDT,4h,55,90,0.04,0.2,21600,-0.87,-4.32,56.25,-0.44
BNB-USDT,4h,30,180,0.1,0.2,21600,-0.77,-0.27,33.33,-1.61
ETH-USDT,1h,35,100,0.1,0.02,21600,8.74,-2.38,61.54,2.40
LINK-USDT,4h,40,150,0.04,0.08,21600,-12.46,-14.65,40.00,-0.14
AVAX-USDT,1h,50,180,0.01,0.08,21600,14.32,-7.03,43.48,0.22
BNB-USDT,4h,25,110,0.03,0.1,21600,-0.72,-0.69,50.00,-2.47
BNB-USDT,4h,5,110,0.01,0.1,21600,-0.35,-3.91,33.33,0.02
BNB-USDT,1h,5,120,0.03,0.05,21600,-2.06,-9.75,42.00,0.68
AVAX-USDT,4h,15,80,0.02,0.08,21600,13.63,-8.34,58.33,-0.42
LINK-USDT,1h,15,30,0.01,0.08,21600,-25.74,-35.09,35.12,-1.07
BNB-USDT,4h,55,150,0.1,0.15,21600,-2.83,-1.84,0.00,-6.14
AVAX-USDT,4h,25,60,0.07,0.15,21600,-8.97,-20.34,52.56,-1.80
ADA-USDT,1h,5,40,0.01,0.15,21600,32.12,-37.74,36.13,0.76
TRX-USDT,4h,45,80,0.04,0.08,21600,3.00,-3.87,50.00,0.29
TRX-USDT,1h,5,50,0.07,0.1,21600,-3.66,-13.27,50.69,-0.97
SOL-USDT,1h,15,80,0.01,0.05,21600,-1.92,-35.28,35.60,1.01
AVAX-USDT,4h,5,80,0.03,0.08,21600,8.73,-10.07,55.06,1.82
XRP-USDT,4h,35,90,0.01,0.15,21600,15.17,-13.42,39.77,1.46
ETH-USDT,1h,5,60,0.02,0.02,21600,0.18,-6.43,57.14,0.63
BTC-USDT,1h,15,70,0.05,0.1,21600,-7.14,-8.11,25.00,-3.08
SOL-USDT,1h,35,180,0.1,0.15,21600,4.90,-13.01,46.67,0.44
TRX-USDT,1h,30,60,0.03,0.08,21600,-6.30,-11.94,45.99,0.11
XRP-USDT,1h,25,100,0.1,0.02,21600,14.12,-15.45,52.74,1.00
DOGE-USDT,4h,35,90,0.01,0.08,21600,17.21,-6.97,35.44,2.76
ADA-USDT,1h,5,180,0.1,0.02,21600,-1.78,-21.29,50.84,-0.19
DOGE-USDT,1h,30,170,0.04,0.05,21600,-15.84,-21.03,41.27,-0.78
TRX-USDT,4h,55,160,0.02,0.08,21600,-3.11,-3.16,44.44,-1.72
DOGE-USDT,4h,35,170,0.04,0.02,21600,4.03,-5.65,50.00,0.83
ADA-USDT,4h,45,120,0.07,0.08,21600,-5.68,-8.54,34.38,-0.42
AVAX-USDT,1h,50,100,0.01,0.02,21600,12.52,-9.32,41.28,-0.15
TRX-USDT,1h,15,160,0.01,0.08,21600,-14.42,-16.88,38.00,-1.78
LINK-USDT,4h,35,110,0.02,0.1,21600,2.95,-8.18,53.33,0.30
ADA-USDT,4h,10,160,0.07,0.1,21600,-17.96,-20.28,28.57,-0.97
DOGE-USDT,1h,55,120,0.01,0.15,21600,11.61,-14.60,37.84,0.46
XRP-USDT,1h,50,80,0.01,0.1,21600,10.57,-13.97,38.02,-0.50
XRP-USDT,1h,30,190,0.02,0.05,21600,-9.87,-16.21,44.12,-0.26
BTC-USDT,4h,30,110,0.05,0.02,21600,-0.58,-0.20,0.00,-5.37
LINK-USDT,4h,55,70,0.07,0.05,21600,-1.78,-13.78,42.31,0.72
BNB-USDT,4h,20,100,0.03,0.02,21600,-0.48,-0.46,0.00,-1.72
XRP-USDT,4h,45,110,0.04,0.15,21600,8.00,-4.43,57.14,0.93
TRX-USDT,4h,30,110,0.05,0.08,21600,4.78,-3.52,36.67,0.76
SOL-USDT,1h,10,170,0.07,0.1,21600,-2.48,-15.82,51.11,0.45
AVAX-USDT,4h,30,80,0.05,0.2,21600,-18.44,-21.15,42.59,-1.73
TRX-USDT,4h,10,140,0.1,0.1,21600,3.74,-2.25,45.24,-0.40
XRP-USDT,1h,15,120,0.05,0.02,21600,8.05,-18.96,51.91,0.45
BNB-USDT,1h,50,160,0.1,0.2,21600,-10.68,-10.85,44.44,-1.47
SOL-USDT,1h,15,40,0.01,0.1,21600,1.72,-27.17,37.76,0.42
SOL-USDT,4h,50,140,0.04,0.08,21600,-17.39,-19.28,37.84,-1.81
AVAX-USDT,4h,10,120,0.04,0.2,21600,14.14,-6.54,47.62,0.63
XRP-USDT,4h,45,60,0.04,0.08,21600,0.60,-12.75,42.86,-0.77
BNB-USDT,1h,40,170,0.01,0.08,21600,4.04,-3.76,42.11,0.95
XRP-USDT,4h,45,60,0.04,0.1,21600,0.60,-12.75,42.86,-0.77
ETH-USDT,1h,30,170,0.05,0.1,21600,-3.08,-4.51,18.75,-1.74
BTC-USDT,4h,35,180,0.05,0.05,21600,-1.44,-0.78,0.00,-19.64
ADA-USDT,1h,25,40,0.07,0.2,21600,-21.63,-38.68,46.67,-0.10
ADA-USDT,4h,45,130,0.04,0.2,21600,-5.00,-8.43,41.18,-0.37
TRX-USDT,4h,35,100,0.02,0.15,21600,-1.10,-4.24,59.52,-0.59
AVAX-USDT,4h,45,80,0.01,0.05,21600,-0.64,-16.56,28.93,-0.34
TRX-USDT,1h,25,180,0.05,0.2,21600,8.09,-7.91,53.91,-0.65
SOL-USDT,1h,30,170,0.02,0.2,21600,-18.60,-25.00,43.51,-1.14
ETH-USDT,4h,20,60,0.05,0.02,21600,-3.71,-3.13,23.08,-2.27
XRP-USDT,1h,50,120,0.07,0.05,21600,-4.06,-32.65,45.00,-1.66
BTC-USDT,1h,10,190,0.07,0.02,21600,2.23,-1.04,45.45,-0.08
LINK-USDT,1h,25,60,0.03,0.2,21600,-21.19,-47.93,45.15,-2.28
ADA-USDT,4h,50,120,0.07,0.08,21600,9.66,-2.61,59.38,-0.36
XRP-USDT,1h,40,80,0.02,0.02,21600,-21.86,-27.33,44.79,-0.87
SOL-USDT,1h,45,100,0.01,0.05,21600,0.78,-23.42,34.84,0.23
AVAX-USDT,1h,15,130,0.04,0.02,21600,26.90,-18.29,62.29,1.12
AVAX-USDT,4h,15,60,0.03,0.15,21600,5.18,-16.58,51.04,0.65
XRP-USDT,4h,50,160,0.03,0.08,21600,1.57,-3.11,42.86,0.37
BTC-USDT,4h,35,130,0.07,0.2,21600,0.16,-0.01,50.00,2.03
TRX-USDT,1h,50,110,0.04,0.15,21600,-1.52,-8.83,42.41,0.13
ADA-USDT,1h,20,60,0.04,0.08,21600,-46.55,-52.42,42.07,-2.12
DOGE-USDT,4h,25,190,0.01,0.02,21600,5.05,-3.15,50.00,2.14
XRP-USDT,4h,40,90,0.07,0.2,21600,-7.72,-9.28,41.07,-0.76
ETH-USDT,1h,35,190,0.04,0.15,21600,-1.18,-4.45,50.00,0.90
SOL-USDT,1h,10,150,0.1,0.02,21600,21.33,-11.22,53.21,1.73
SOL-USDT,4h,5,40,0.03,0.15,21600,-33.63,-40.45,44.62,-0.60
LINK-USDT,4h,50,110,0.07,0.08,21600,-11.60,-12.86,33.33,-1.50
XRP-USDT,1h,45,90,0.03,0.2,21600,14.18,-12.16,43.56,0.11
SOL-USDT,1h,40,80,0.02,0.02,21600,-16.06,-22.35,46.62,-0.91
AVAX-USDT,1h,30,50,0.02,0.15,21600,6.01,-23.91,43.54,0.07
AVAX-USDT,1h,20,120,0.04,0.08,21600,42.37,-11.85,60.00,0.91
BTC-USDT,4h,55,80,0.02,0.05,21600,2.07,0.00,100.00,2.72
SOL-USDT,1h,20,90,0.04,0.02,21600,15.11,-8.39,53.31,-0.10
LINK-USDT,1h,10,170,0.01,0.02,21600,-43.53,-51.33,28.32,-2.45
ADA-USDT,4h,35,60,0.04,0.05,21600,9.96,-17.37,53.12,1.42
ETH-USDT,4h,10,180,0.05,0.05,21600,1.58,0.00,100.00,8.80
DOGE-USDT,1h,30,120,0.05,0.02,21600,17.21,-18.97,53.07,-0.12
BNB-USDT,1h,55,110,0.04,0.2,21600,-5.73,-7.96,30.77,-0.34
LINK-USDT,1h,5,80,0.01,0.05,21600,2.65,-31.96,35.19,-1.05
DOGE-USDT,1h,15,150,0.07,0.15,21600,-16.91,-30.41,46.67,-0.06
TRX-USDT,1h,50,140,0.01,0.1,21600,-6.41,-8.75,42.75,-0.55
ETH-USDT,1h,40,150,0.03,0.02,21600,3.97,-2.60,55.56,-0.37
AVAX-USDT,1h,45,110,0.02,0.1,21600,21.73,-6.60,53.90,1.07
ETH-USDT,4h,55,110,0.02,0.08,21600,-1.86,-0.89,0.00,-27.25
XRP-USDT,4h,40,170,0.01,0.08,21600,-1.56,-7.22,34.69,-1.84
DOGE-USDT,1h,10,60,0.05,0.08,21600,-32.46,-45.28,43.51,-0.68
BNB-USDT,4h,30,70,0.07,0.05,21600,3.27,-1.84,62.50,0.21
ADA-USDT,1h,45,190,0.02,0.2,21600,12.82,-7.15,47.96,-0.11
ETH-USDT,4h,30,120,0.1,0.08,21600,-10.20,-5.47,0.00,-70.05
DOGE-USDT,4h,50,90,0.1,0.1,21600,10.95,-6.79,53.70,0.05
XRP-USDT,4h,40,150,0.05,0.08,21600,-6.20,-9.75,37.50,-3.11
AVAX-USDT,1h,50,70,0.1,0.2,21600,1.45,-40.62,48.45,-1.18
XRP-USDT,4h,35,170,0.03,0.02,21600,3.28,-3.20,60.00,0.23
ETH-USDT,1h,25,70,0.04,0.15,21600,1.53,-3.57,50.00,0.17
