Pair,Interval,BB_Period,BB_Std,Threshold,Trend_MA,SL,TP,P1_PnL,P2_PnL,P3_PnL,P4_PnL,P5_PnL,P6_PnL,P7_PnL,P8_PnL,Mean_PnL,Trades,Accuracy,Sharpe,MaxDD,Score,Valid
SOL-USDT,1h,20,2.5,0.8,200,0.02,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,10,3.0,0.8,0,0.02,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,50,2.0,0.9,50,0.03,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,30,2.5,0.9,0,0.02,0.12,0.00,0.00,0.00,-29.31,0.00,0.00,0.00,0.00,-3.66,219,16.4,-1.36,54.4,0.00,False
SOL-USDT,1h,30,3.0,0.8,0,0.02,0.08,-72.62,0.00,0.00,0.00,0.00,-34.63,0.00,0.00,-13.41,631,24.9,-0.56,72.3,0.00,False
SOL-USDT,4h,10,3.0,1.0,200,0.03,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,20,2.5,0.7,200,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,10,2.5,0.9,0,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,30,2.5,0.9,100,0.03,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,20,2.5,0.8,0,0.02,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-47.48,-5.94,209,22.0,-2.18,63.7,0.00,False
SOL-USDT,4h,10,2.0,0.9,0,0.02,0.08,0.00,2.23,0.00,0.00,0.00,0.00,0.00,0.00,0.28,2,100.0,22.18,0.0,0.00,False
SOL-USDT,4h,30,3.0,0.7,0,0.02,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,30,3.0,0.8,0,0.05,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,50,2.0,0.9,0,0.02,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
